Classical: 0 , Quantum: 0
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 0
Classical: 2 , Quantum: 0
Classical: 3 , Quantum: 0
Classical: 0 , Quantum: 1
Classical: 0 , Quantum: 1
Classical: 1 , Quantum: 1
Classical: 1 , Quantum: 1
Classical: 2 , Quantum: 0
Classical: 8 , Quantum: 1
Classical: 2 , Quantum: 0
Classical: 3 , Quantum: 0
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 1
Classical: 1 , Quantum: 0
Classical: 1 , Quantum: 0
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 0
Classical: 1 , Quantum: 0
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 2
Classical: 0 , Quantum: 0
Classical: 0 , Quantum: 1
Classical: 2 , Quantum: 1
Classical: 0 , Quantum: 1
Classical: 1 , Quantum: 1
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 2
Classical: 0 , Quantum: 0
Classical: 1 , Quantum: 1
Classical: 1 , Quantum: 2
Classical: 2 , Quantum: 1
Classical: 6 , Quantum: 1
Classical: 9 , Quantum: 0
Classical: 4 , Quantum: 0
Classical: 7 , Quantum: 0
Classical: 4 , Quantum: 0
Classical: 1 , Quantum: 1
Classical: 8 , Quantum: 1
Classical: 2 , Quantum: 1
Classical: 6 , Quantum: 0
Classical: 6 , Quantum: 0
Classical: 6 , Quantum: 0
Classical: 2 , Quantum: 1
Classical: 5 , Quantum: 2
Classical: 1 , Quantum: 3
Classical: 0 , Quantum: 1
Classical: 7 , Quantum: 1
Classical: 14 , Quantum: 0
Classical: 3 , Quantum: 1
Classical: 1 , Quantum: 0
Classical: 2 , Quantum: 3
Classical: 2 , Quantum: 3
Classical: 1 , Quantum: 2
Classical: 1 , Quantum: 5
Classical: 2 , Quantum: 0
Classical: 2 , Quantum: 1
Classical: 2 , Quantum: 6
Classical: 0 , Quantum: 3
Classical: 2 , Quantum: 1
Classical: 4 , Quantum: 2
